Question,Answer
What is a savings account?,A savings account is a deposit account held at a bank or other financial institution that provides principal security and a modest interest rate.
What is a checking account?,A checking account is a deposit account at a financial institution that allows withdrawals and deposits.
What is a certificate of deposit?,A CD is a savings certificate with a fixed maturity date and specified fixed interest rate that can be issued in any denomination aside from minimum investment requirements.
What is online banking?,Online banking is a method of banking in which transactions are conducted electronically over the Internet.
What is mobile banking?,"Mobile banking is the act of making financial transactions on a mobile device (cell phone, tablet, etc.)."
What is a mortgage?,"A mortgage is a loan used to purchase or maintain a home, land, or other types of real estate."
What is a loan?,A loan is when money is given to another party in exchange for repayment of the loan principal amount plus interest.
What is a credit card?,"A credit card is a card issued by a financial company giving the holder an option to borrow funds, usually at point of sale."
What is a debit card?,A debit card is a payment card that deducts money directly from a consumer’s checking account to pay for a purchase.
What is an exchange rate?,The exchange rate is the value of one currency for the purpose of conversion to another.
What is a budget deficit?,"A budget deficit occurs when expenses exceed revenue, and it is an indicator of financial health."
What is a budget surplus?,A budget surplus occurs when income exceeds expenditures.
What is national debt?,"National debt is the total amount of money that a country's government has borrowed, typically through issuance of securities."
What is consumer spending?,Consumer spending is the amount of money spent by households in an economy on goods and services.
What is a credit union?,A credit union is a nonprofit money cooperative whose members can borrow from pooled deposits at low interest rates
What is a savings and loan association?,A savings and loan association is a financial institution that specializes in accepting savings deposits and making mortgage and other loans.
What is interest?,"Interest is the charge for the privilege of borrowing money, typically expressed as an annual percentage rate."
What is a savings bond?,A savings bond is a government bond that offers a fixed rate of interest over a fixed period of time.
What is a treasury bond?,A treasury bond is a fixed-interest government debt security with a maturity of more than 10 years.
What is a municipal bond?,"A municipal bond is a debt security issued by a state, municipality, or county to finance its capital expenditures."
What is an IPO?,An Initial Public Offering (IPO) is the first sale of stock by a company to the public.
What is a blue-chip stock?,"A blue-chip stock is the stock of a large, well-established and financially sound company that has operated for many years."
What is a penny stock?,A penny stock refers to a small company's stock that typically trades for less than dollar 5 per share.
What is a stock split?,A stock split is when a company divides the existing shares of its stock into multiple new shares to boost the stock's liquidity.
What is a reverse stock split?,A reverse stock split is a reduction in the number of a corporation's shares outstanding that increases the par value of its stock or its earnings per share.
What is a bond yield?,"Bond yield is the amount of return an investor will realize on a bond, calculated by dividing its face value by the amount of interest it pays."
What is a stock yield?,"Stock yield is the earnings generated and realized on an investment over a particular period of time, expressed as a percentage."
What is the NYSE?,"The New York Stock Exchange (NYSE) is the largest securities exchange in the world, hosting 82% of the S&P 500, as well as 70 of the biggest corporations in the world."
What is the NASDAQ?,"The NASDAQ is a global electronic marketplace for buying and selling securities, as well as the benchmark index for U.S. technology stocks."
What is the S&P 500?,"The Standard & Poor's 500, often abbreviated as the S&P 500, is an American stock market index based on the market capitalizations of 500 large companies having common stock listed on the NYSE or NASDAQ."
What is the Dow Jones Industrial Average?,The Dow Jones Industrial Average (DJIA) is a widely-watched benchmark index in the USA for blue-chip stocks; it includes the top 30 companies based on market capitalization.
What is a bear market?,A bear market is a condition in which securities prices fall and widespread pessimism causes the stock market's downward spiral to be self-sustaining.
What is a bull market?,A bull market is a period of generally rising prices in the stock market.
What is market capitalization?,Market capitalization refers to the total dollar market value of a company's outstanding shares of stock.
What is a financial statement?,A financial statement is a formal record of the financial
What is a balance of trade?,The balance of trade is the difference in value between a country's imports and exports.
What is an asset?,An asset is anything of value or a resource of value that can be converted into cash.
What is a liability?,A liability is a company's financial debt or obligations incurred during business operations.
What is equity?,"Equity represents ownership value in an asset or business, after liabilities are deducted."
What is a mutual fund expense ratio?,A mutual fund expense ratio is the measure of what it costs an investment company to operate a mutual fund.
What is a price-to-earnings ratio?,The price-to-earnings ratio is a valuation metric comparing the current share price of a company to its per-share earnings.
What is a credit limit?,A credit limit is the maximum amount of credit that a financial institution extends to a client.
What is bankruptcy?,Bankruptcy is a legal process through which individuals or businesses unable to pay debts seek relief from some or all of their obligations.
What is a financial crisis?,A financial crisis is a situation where financial assets suddenly lose a large part of their nominal value.
What is a stockbroker?,A stockbroker is a professional who executes buy and sell orders for stocks and other securities on behalf of clients.
What is a day trader?,A day trader is an investor who buys and sells securities within the same trading day.
What is short selling?,"Short selling is a trading strategy that involves selling securities that the seller does not own, betting that prices will decline."
What is a bond rating?,"A bond rating is an assessment of the creditworthiness of a corporate or government bond, reflecting the likelihood of default."
What is a credit rating?,"A credit rating is an evaluation of the credit risk of a prospective debtor, predicting their ability to pay back the debt."
What is a loan default?,A loan default occurs when a borrower fails to pay back a debt according to the initial arrangement.
What is a financial audit?,A financial audit is an objective examination and evaluation of the financial statements of an organization.
What is a fiscal year?,A fiscal year is a one-year period that companies and governments use for financial reporting and budgeting.
What is a calendar year?,"A calendar year is the one-year period that begins on January 1 and ends on December 31, based on the Gregorian calendar."
What is a dividend yield?,Dividend yield is a financial ratio that shows how much a company pays out in dividends each year relative to its stock price.
What is a market order?,A market order is an order to buy or sell a security immediately at the best available current price.
What is a limit order?,A limit order is an order to buy or sell a security at a specific price or better.
What is a stop loss order?,A stop loss order is an order placed with a broker to buy or sell once the stock reaches a certain price.
What is a day order?,A day order is a buy or sell order that will expire at the end of the trading day on which it is entered if not executed.
What is a good-till-canceled order?,A good-till-canceled order is an order to buy or sell a security that lasts until the order is completed or canceled.
What is a margin account?,A margin account is a brokerage account in which the broker lends the customer cash to purchase stocks or other financial products.
What is short interest?,Short interest is the total number of shares of a particular stock that have been sold short by investors but have not yet been covered or closed out.
What is a stock exchange?,"A stock exchange is a marketplace where securities, such as stocks and bonds, are bought and sold."
